match_id,date,home_team,away_team,home_score,away_score,tournament,neutral_site,home_elo_pre_x,away_elo_pre_x,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_xg,away_xg,competition_importance,result_label,goal_margin,total_goals,tournament_group,home_match_id,home_neutral_site,home_tournament_group,home_competition_importance,home_elo_pre_y,home_goals_for,home_goals_against,home_shots_for,home_shots_on_target_for,home_xg_for,home_xg_against,home_points,home_win_flag,home_goal_diff,home_form_points_last5,home_goal_diff_form_last5,home_goals_for_last5,home_goals_against_last5,home_shots_last5,home_shots_on_target_last5,home_xg_last5,home_xga_last5,home_win_rate_last5,home_elo_last,home_matches_played_prior,away_match_id,away_neutral_site,away_tournament_group,away_competition_importance,away_elo_pre_y,away_goals_for,away_goals_against,away_shots_for,away_shots_on_target_for,away_xg_for,away_xg_against,away_points,away_win_flag,away_goal_diff,away_form_points_last5,away_goal_diff_form_last5,away_goals_for_last5,away_goals_against_last5,away_shots_last5,away_shots_on_target_last5,away_xg_last5,away_xga_last5,away_win_rate_last5,away_elo_last,away_matches_played_prior,elo_diff,form_points_diff,goal_diff_form_diff,goals_for_diff,goals_against_diff,shots_diff,shots_on_target_diff,xg_diff,xga_diff,win_rate_diff,matches_played_diff
0,2012-01-01,Norway,England,1,3,Continental Cup,1,1785.8,1918.1,9,8,3,4,1.44,1.7,0.92,away_win,-2,4,continental,0,1,continental,0.92,1785.8,1,3,9,3,1.44,1.7,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0,1,continental,0.92,1918.1,3,1,8,4,1.7,1.44,3,1,2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2012-01-02,Belgium,Switzerland,2,0,Friendly,0,1861.4,1833.6,10,4,2,2,1.74,1.04,0.5,home_win,2,2,friendly,1,0,friendly,0.5,1861.4,2,0,10,2,1.74,1.04,3,1,2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,1,0,friendly,0.5,1833.6,0,2,4,2,1.04,1.74,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2012-01-02,Morocco,Switzerland,2,0,Friendly,0,1898.9,1842.9,12,8,2,0,1.68,1.29,0.5,home_win,2,2,friendly,2,0,friendly,0.5,1898.9,2,0,12,2,1.68,1.29,3,1,2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,2,0,friendly,0.5,1842.9,0,2,8,0,1.29,1.68,0,0,-2,0.0,-2.0,0.0,2.0,4.0,2.0,1.04,1.74,0.0,1833.6,1,-42.58259999999996,1.25,2.0,1.4228333333333334,0.7933333333333332,4.850666666666667,0.9089999999999998,0.3934416666666669,0.5786916666666666,0.4,-1
3,2012-01-03,Tunisia,Qatar,2,0,Friendly,0,1736.2,1673.5,8,6,4,1,1.21,0.82,0.5,home_win,2,2,friendly,3,0,friendly,0.5,1736.2,2,0,8,4,1.21,0.82,3,1,2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,3,0,friendly,0.5,1673.5,0,2,6,1,0.82,1.21,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2012-01-03,Czech Republic,England,1,1,Qualifier,0,1783.5,1950.7,5,13,1,3,1.25,0.89,0.85,draw,0,2,qualifier,4,0,qualifier,0.85,1783.5,1,1,5,1,1.25,0.89,1,0,0,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,4,0,qualifier,0.85,1950.7,1,1,13,3,0.89,1.25,1,0,0,3.0,2.0,3.0,1.0,8.0,4.0,1.7,1.44,1.0,1918.1,1,-127.08259999999996,-1.75,-2.0,-1.5771666666666666,-0.20666666666666678,0.8506666666666671,-1.0910000000000002,-0.266558333333333,0.27869166666666656,-0.6,-1
5,2012-01-03,Ghana,Croatia,0,0,Friendly,0,1702.4,1843.4,6,5,2,0,0.87,1.15,0.5,draw,0,0,friendly,5,0,friendly,0.5,1702.4,0,0,6,2,0.87,1.15,1,0,0,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,5,0,friendly,0.5,1843.4,0,0,5,0,1.15,0.87,1,0,0,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2012-01-04,Morocco,Ghana,1,1,World Cup,1,1883.1,1705.3,8,7,2,3,1.15,0.95,1.0,draw,0,2,world_cup,6,1,world_cup,1.0,1883.1,1,1,8,2,1.15,0.95,1,0,0,3.0,2.0,2.0,0.0,12.0,2.0,1.68,1.29,1.0,1898.9,1,6,1,world_cup,1.0,1705.3,1,1,7,3,0.95,1.15,1,0,0,1.0,0.0,0.0,0.0,6.0,2.0,0.87,1.15,0.0,1702.4,1,196.5,2.0,2.0,2.0,0.0,6.0,0.0,0.8099999999999999,-0.14000000000000012,1.0,0
7,2012-01-05,Saudi Arabia,Austria,1,2,Continental Cup,1,1685.6,1834.8,6,9,4,4,0.38,1.38,0.92,away_win,-1,3,continental,7,1,continental,0.92,1685.6,1,2,6,4,0.38,1.38,0,0,-1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,7,1,continental,0.92,1834.8,2,1,9,4,1.38,0.38,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,2012-01-08,Cameroon,South Korea,0,1,Qualifier,0,1747.5,1788.8,9,7,2,2,1.12,1.51,0.85,away_win,-1,1,qualifier,8,0,qualifier,0.85,1747.5,0,1,9,2,1.12,1.51,0,0,-1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,8,0,qualifier,0.85,1788.8,1,0,7,2,1.51,1.12,3,1,1,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,2012-01-09,Tunisia,Uzbekistan,3,1,Qualifier,0,1724.8,1652.9,9,9,3,4,1.44,0.89,0.85,home_win,2,4,qualifier,9,0,qualifier,0.85,1724.8,3,1,9,3,1.44,0.89,3,1,2,3.0,2.0,2.0,0.0,8.0,4.0,1.21,0.82,1.0,1736.2,1,9,0,qualifier,0.85,1652.9,1,3,9,4,0.89,1.44,0,0,-2,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,-54.81739999999991,1.75,2.0,0.5771666666666666,1.2066666666666668,-0.8506666666666671,1.0910000000000002,-0.22344166666666698,0.34130833333333344,0.6,1
10,2012-01-09,Qatar,Croatia,1,1,Friendly,1,1651.4,1854.8,5,6,1,3,0.32,1.07,0.5,draw,0,2,friendly,10,1,friendly,0.5,1651.4,1,1,5,1,0.32,1.07,1,0,0,0.0,-2.0,0.0,2.0,6.0,1.0,0.82,1.21,0.0,1673.5,1,10,1,friendly,0.5,1854.8,1,1,6,3,1.07,0.32,1,0,0,1.0,0.0,0.0,0.0,5.0,0.0,1.15,0.87,0.0,1843.4,1,-169.9000000000001,-1.0,-2.0,0.0,-2.0,1.0,1.0,-0.32999999999999996,-0.33999999999999997,0.0,0
11,2012-01-13,New Zealand,England,1,1,Nations League,1,1631.9,1926.1,5,5,2,2,0.97,1.94,0.75,draw,0,2,nations_league,11,1,nations_league,0.75,1631.9,1,1,5,2,0.97,1.94,1,0,0,1.25,0.0,1.4228333333333334,1.2066666666666668,8.850666666666667,2.909,1.433441666666667,1.1613083333333334,0.4,1791.0174,0,11,1,nations_league,0.75,1926.1,1,1,5,2,1.94,0.97,1,0,0,2.0,1.0,2.0,1.0,10.5,3.5,1.295,1.345,0.5,1950.7,2,-159.6826000000001,-0.75,-1.0,-0.5771666666666666,-0.20666666666666678,-1.6493333333333329,-0.5910000000000002,0.13844166666666702,0.1836916666666666,-0.09999999999999998,-2
